company,status,board_url,ats_type,jobs_read,source_url,notes,original_reason
JD Software,Further adapter investigation required,,,,https://tletyegt.jdsoft.com/careers.html,,no_url_at_all
Klein Tools,Further adapter investigation required,,,,https://www.kleintools.com/careers/life-at-klein,,no_url_at_all
"Litex Industries, Limited",Adapter validation unresolved,https://litexindustries.applytojob.com/apply,jazzhr,0,https://litexindustries.applytojob.com/,,no_url_at_all
Marsh McLennan Agency,Readable — identity review pending,https://mmc.wd1.myworkdayjobs.com/MMC,workday,1962,https://careers.marsh.com/global/en/job/R_366111/seniorhealthcarepopulationhealthdataanalyst,,needs_adapter
Musket Corp.,Further adapter investigation required,,,,https://jobs.loves.com/commodity-trading-and-logistics,,no_url_at_all
NFI,Further adapter investigation required,,,,https://www.nfi.no/om-oss/organisasjon-og-ansatte/jobb-hos-oss,,no_url_at_all
RoviSys Building Technologies,Provided URL unavailable,,,,https://careers-rovisysbuildingtechnologies.icims.com/jobs/1982/entry-level-systems-engineer-controls-specialist/job?in_iframe=1,,no_url_at_all
RS&H,Added and verified,https://careers-rsandh.icims.com/jobs/search?ss=1&in_iframe=1,icims,218,https://www.rsandh.com/careers/internships/,Board registration read back from live database.,no_url_at_all
"Samson Software Solutions, Inc.",Search leads saved — validation pending,,,,https://samsonsoft.com/,Search results are unverified leads; no board added.,staffing_firm
Schmidt Sciences,Further adapter investigation required,,,,https://www.schmidtsciences.org/team/,,no_url_at_all
Signature Aviation,Held for identity or scope review,,,,,Official Signature Aviation careers path returned branded 404; small Breezy tenant not linked to current employer portal.,no_board_found
Spade,Held for identity or scope review,,,,,Official Spade careers page loads job component dynamically; no saved Ashby tenant link in page. JS identity fetch stopped at user wrap-up request.,board_guessed_unverified
Spirit AeroSystems,Adapter validation unresolved,https://careers-spiritaero.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://careers.spiritaero.com/jobs/locations,PartialScrapeError: iCIMS results or explicit empty state is absent,no_url_at_all
Swoon,Further adapter investigation required,,,,https://www.swoonstaffing.com/about/join-our-team/?action=viewJob&id=668,,no_url_at_all
Taghleef Industries,Held for identity or scope review,,,,,Officially attributed tiusajobs.com source returned HTTP 406; independent link to Taghleef ADP tenant unconfirmed.,no_url_at_all
TalenTech Digital,Further adapter investigation required,,,,https://talentechdigital.net/?f=5209427051430,,no_url_at_all
Test Rite Products Corp,Search leads saved — validation pending,,,,https://www.indeed.com/cmp/Test-Rite-Products-Corp,Search results are unverified leads; no board added.,no_url_at_all
Texas Health and Human Services,Search leads saved — validation pending,,,,https://careers.hhs.texas.gov/hhscjobs,Search results are unverified leads; no board added.,no_url_at_all
The People Concern,Further adapter investigation required,,,,https://thepeopleconcern.org/careers/,,no_url_at_all
University of Nebraska at Omaha,Added and verified,https://unomaha.peopleadmin.com/postings/search,peopleadmin,54,https://www.unomaha.edu/human-resources/employment/index.php,Board registration read back from live database.,no_board_found
vineyard vines,Added and verified,https://recruiting.ultipro.com/VIN1003VINE/JobBoard/40482047-a7f3-434d-bd61-d246ea779eaa,ultipro,31,https://www.vineyardvines.com/content/careers-headquarters-benefits,Board registration read back from live database.,no_url_at_all
Worthington Enterprises,Held for identity or scope review,,,,,"Identity mismatch: Greenhouse wavemm1 is Wave, not Worthington Enterprises.",needs_adapter
Zenith,Further adapter investigation required,,,,https://jobs.zenith.co.uk/jobs/home/,,no_url_at_all
Blount Fine Foods,Public portal restricted during check,,,,https://jobs.blountfinefoods.com,,fetch_failed
ChemTreat,Added and verified,https://veralto.wd1.myworkdayjobs.com/ChemTreatJobs,workday,58,https://jobs.veralto.com/global/en/chemtreat,Board registration read back from live database.,no_board_found
Cleveland-Cliffs,Further adapter investigation required,,,,https://careers.clevelandcliffs.com,,no_board_found
GNC,Further adapter investigation required,,,,https://jobs.gnc.com,,no_board_found
Laitram,Added and verified,https://jobs.laitram.com/en_US/JobsLaitram/SearchJobs,avature,104,https://jobs.laitram.com/en_US/JobsLaitram,Board registration read back from live database.,no_board_found
Salt Lake Community College,Added and verified,https://www.schooljobs.com/careers/slcc,schooljobs,143,https://jobs.slcc.edu/,Board registration read back from live database.,no_board_found
Samsonite,Further adapter investigation required,,,,https://careers.samsonite.com,,no_board_found
All IT Solutions,Further adapter investigation required,,,,https://careers.allitsolutions.net/jobs/ai-engineer-2026-f1dace11,,staffing_firm
edkey,Added and verified,https://recruiting.ultipro.com/EDK1000EDK/JobBoard/71e18c44-77db-43da-95e5-381b44ece021,ultipro,17,https://www.edkeyonline.org/personnelportal.jsp,Board registration read back from live database.,no_url_at_all
Enlighten,Readable — identity review pending,https://jobs.hii-tsd.com,successfactors,609,https://jobs.hii-tsd.com/job/San-Antonio%2C-TX-Summer-2027-Internship-DevOps-Engineer-%28Hybrid%29-30231-Texa/1430968400/,,needs_adapter
Tech Consulting,Further adapter investigation required,,,,https://www.ey.com/es_co/careers/tech-consulting,,no_url_at_all
JANUS Research Group,Further adapter investigation required,,,,https://www.janusresearch.com/careers/join-our-team?ID=1657,,no_url_at_all
Acosta,Further adapter investigation required,,,,https://careers.acosta-europe.com/acosta/home/,,no_url_at_all
Conrad N. Hilton Foundation,Provided URL unavailable,,,,https://www.glassdoor.co.uk/Overview/Working-at-Conrad-N-Hilton-Foundation-EI_IE682042.11%2C37.htm,,no_url_at_all
Diversified,Further adapter investigation required,,,,https://onediversified.com/careers/life-at-diversified,,no_url_at_all
Falvey Insurance Group,Added and verified,https://ats.rippling.com/falvey-insurance-group-careers/jobs,rippling,3,https://ats.rippling.com/falvey-insurance-group-careers/jobs?rr_message=job_not_found,Board registration read back from live database.,no_url_at_all
HITT Contracting Inc.,Added and verified,https://hitt.wd503.myworkdayjobs.com/HITT,workday,293,https://www.hitt.com/careers/,Board registration read back from live database.,no_url_at_all
"Orbital Engineering, Inc.",Added and verified,https://recruiting.ultipro.com/ORB1000OENG/JobBoard/99afc845-206f-496e-bd6a-3427e944c046,ultipro,83,https://orbitalengr.com/careers/,Board registration read back from live database.,no_url_at_all
Success Academy Charter Schools,Held for identity or scope review,,,,,"Success Academy branded Greenhouse board readable, but official jobs.successacademies.org returned HTTP 403 in independent link verification.",no_url_at_all
The Reynolds and Reynolds Company,Search leads saved — validation pending,,,,https://www.linkedin.com/company/the-reynolds-and-reynolds-company/jobs,Search results are unverified leads; no board added.,no_url_at_all
ACON Laboratories,Further adapter investigation required,,,,https://www.aconlabs.com/,,no_url_at_all
Alameda Alliance for Health,Further adapter investigation required,,,,https://alamedaallianceforhealth.submittable.com/,,no_url_at_all
Altec Industries,Public portal restricted during check,,,,https://jobs.altec.com/jobs/18242414-business-intelligence-analyst?tm_job=37378-1A&tm_event=view&tm_company=2475,,needs_adapter
Amcor,Further adapter investigation required,,,,https://www.amcor.com/edgewood,,no_url_at_all
AmeriLife,Added and verified,https://amerilife.wd5.myworkdayjobs.com/External,workday,62,https://amerilife.com/join-our-team,Board registration read back from live database.,no_url_at_all
Arkhya Tech. Inc.,Further adapter investigation required,,,,https://www.arkhyatech.com/about-us,,no_url_at_all
ASM,Readable — identity review pending,https://job-boards.greenhouse.io/asm,greenhouse,469,https://job-boards.greenhouse.io/asm,,board_guessed_unverified
Association of International Certified Professional Accountants,Search leads saved — validation pending,,,,https://www.linkedin.com/company/association-of-international-certified-professional-accountants/jobs,Search results are unverified leads; no board added.,no_url_at_all
Atmos Energy,Further adapter investigation required,,,,https://www.atmosenergy.com/sustainability/employees/,,no_url_at_all
BlackHawk Data,Added and verified,https://blackhawkdatallc12029.applytojob.com/apply,jazzhr,10,https://blackhawkdatallc12029.applytojob.com/apply/n3mI6Mn2uO/Senior-Solution-Architect,Board registration read back from live database.,no_url_at_all
Boston Childrens Health Physicians LLP,Further adapter investigation required,,,,https://www.appone.com/applinkportal.asp?r_id=7210289&AdCode=Indeed7546,,needs_adapter
Breeze,Readable — identity review pending,https://flybreeze.wd503.myworkdayjobs.com/Breeze_Airways,workday,56,https://jobs.flybreeze.com/,,no_url_at_all
Care New England Health System,Held for identity or scope review,,,,,Detected employee portal held; external portal needs separate validation.,needs_adapter
Carrot,Further adapter investigation required,,,,https://careers.carrot.com/,,no_board_found
Choate Construction Company,Added and verified,https://choateco.wd503.myworkdayjobs.com/Choate,workday,31,https://www.choateco.com/careers/,Board registration read back from live database.,no_url_at_all
Chrome Hearts,Further adapter investigation required,,,,https://www.chromehearts.com/locations.html,,no_url_at_all
City of Charlotte,Public portal restricted during check,,,,https://www.charlottenc.gov/City-Government/City-Jobs?lang_update=639178387573385210,,no_url_at_all
Copa Health,Adapter validation unresolved,https://jobs.jobvite.com/support,jobvite,0,https://jobs.jobvite.com/copahealth/search?c=Direct+Support+Professional&p=0,,no_url_at_all
Cornerstone Energy Services Inc.,Added and verified,https://ats.rippling.com/cornerstone-energy-services/jobs,rippling,9,https://www.cornerstoneenergyinc.com/careers/,Board registration read back from live database.,no_url_at_all
DATAMARK,Added and verified,https://apply.workable.com/datamark-inc,workable,78,https://apply.workable.com/datamark-inc/j/ED26FD8556,Board registration read back from live database.,needs_adapter
EDZ Systems,Further adapter investigation required,,,,https://edzsystems.com/home,,no_url_at_all
Federal Signal,Added and verified,https://recruiting2.ultipro.com/FED1002FSC/JobBoard/d5675b81-d6f5-4226-9f8c-be296cda2308,ultipro,155,https://www.fedsig.com/join-the-federal-signal-team/,Board registration read back from live database.,no_url_at_all
Firestorm,Further adapter investigation required,,,,https://firestormfire.com/job-openings/,,no_url_at_all
Framework Group,Further adapter investigation required,,,,https://www.frameworkgroup.net/,,no_url_at_all
Goodville Mutual Casualty Company,Further adapter investigation required,,,,https://recruiting.paylocity.com/recruiting/jobs/All/8f46d949-c401-47b3-98f6-325a707e1198/Goodville-Mutual-Casualty-Co,,no_url_at_all
Gray,Adapter validation unresolved,https://careershub-gray.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://www.gray.com/careers/inclusion/,PartialScrapeError: iCIMS posting identity is invalid,no_url_at_all
Hexagon Mining,Search leads saved — validation pending,,,,https://www.linkedin.com/company/hexagon-mining,Search results are unverified leads; no board added.,no_url_at_all
"Idea Nuova, Inc.",Further adapter investigation required,,,,https://ideanuova.com/contact/,,no_url_at_all
Ivanhoe Electric,Readable — identity review pending,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=873c72c2-dc11-47df-95ee-448a932780e9&ccId=9201615195220_2,adp,4,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=873c72c2-dc11-47df-95ee-448a932780e9&ccId=9201615195220_2&jobId=606068&source=IN&lang=en_US,,board_resolved_but_unused
J.B. Poindexter & Co,Held for identity or scope review,,,,,"An aggregator footer linked University of Michigan, not the requested employer.",no_url_at_all
"Johnson, Mirmiran & Thompson",Further adapter investigation required,,,,https://jobs.silkroad.com/JMT/JMTCareers/jobs/15591/?source=Indeed.com,,needs_adapter
KABOOM!,Further adapter investigation required,,,,https://kaboom.org/about-kaboom/careers/,,no_url_at_all
Key Capture Energy,Added and verified,https://keycaptureenergyllc.applytojob.com/apply,jazzhr,6,https://keycaptureenergyllc.applytojob.com/apply/mM5msZMB77/Transmission-Analyst,Board registration read back from live database.,no_url_at_all
"KiwiCo, Inc.",Added and verified,https://job-boards.greenhouse.io/kiwicoinc,greenhouse,5,https://www.kiwico.com/jobs,Board registration read back from live database.,no_url_at_all
"M&S Engineering, LLC",Further adapter investigation required,,,,https://msengr.hrmdirect.com/employment/view.php?req=3797141&jbsrc=1014&location=f3f8c1b6-7510-4e30-b8af-069fc4a6156f,,needs_adapter
"Megawatt Construction, Inc.",Further adapter investigation required,,,,https://www.megawattelectric.com/jobs/,,no_url_at_all
Monarch Investment and Management Group,Further adapter investigation required,,,,https://hire.mimginvestment.com/,,no_url_at_all
NGL TRANSPORTATION,Further adapter investigation required,,,,https://ngltransportation.com/,,no_url_at_all
ODP Business Solutions,Public portal restricted during check,,,,https://careers.odpbusiness.com/jobs/18255530-master-data-product-manager,,needs_adapter
Oil-Dri Corporation of America,Further adapter investigation required,,,,https://www.oildri.com/careers/general-application/,,no_url_at_all
Outdoor Cap Company,Added and verified,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7a1edbd8-73dc-48b7-8f73-48dc403576b5&ccId=19000101_000001,adp,8,https://www.outdoorcap.com/careers,Board registration read back from live database.,no_url_at_all
Pacagen,Further adapter investigation required,,,,https://pacagen.com/en-us/pages/contact,,no_url_at_all
Pathware Inc.,Further adapter investigation required,,,,https://www.pathware.com/contact,,no_url_at_all
Prometheum,Added and verified,https://prometheum.applytojob.com/apply,jazzhr,2,https://www.prometheum.com/careers-open-positions,Board registration read back from live database.,no_url_at_all
Quantumtech Inc,Further adapter investigation required,,,,https://quantumtech.ltd/,,no_url_at_all
R.T. Moore,Further adapter investigation required,,,,https://jobs.rtmoore.com,,no_board_found
RailPros,Provided URL unavailable,,,,https://careers.railpros.com/,,no_board_found
Roundglass,Further adapter investigation required,,,,https://roundglassfoundation.org/work-with-us/,,no_url_at_all
Schuff Steel,Added and verified,https://www.paycomonline.net/v4/ats/web.php/portal/431E1D6744E3AC7D80AD60F6432C8100/career-page,paycom,68,https://www.schuff.com/careers/,Board registration read back from live database.,no_url_at_all
Sequoia Financial Group,Added and verified,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=c0aec70d-b765-4605-974e-8278e6583202&ccId=19000101_000001,adp,29,https://www.sequoia-financial.com/about/careers/,Board registration read back from live database.,no_url_at_all
Solace,Already configured,,,,,,board_guessed_unverified
State of Michigan,Further adapter investigation required,,,,https://www.michigan.gov/som,,no_url_at_all
Stirista,Further adapter investigation required,,,,https://www.stirista.com/platform/,,no_url_at_all
STO Building Group,Added and verified,https://fa-exrr-saasfaprod1.fa.ocs.oraclecloud.com:443/hcmUI/CandidateExperience/en/sites/stobg,oracle,430,https://stobuildinggroup.com/london-united-kingdom-2/careers/,Board registration read back from live database.,no_url_at_all
"TechLink Systems, Inc.",Further adapter investigation required,,,,https://techlink-systems.com/,,no_url_at_all
UPG Company,Held for identity or scope review,,,,,"Guessed upgcompany.com did not resolve. Search found employer LinkedIn posting with exact ADP cid, but official website identity not independently checked before wrap-up.",board_resolved_but_unused
WEALTHCOUNSEL LLC,Provided URL unavailable,,,,https://ht-jobs.net/26zmbrc?s=in,,needs_adapter
Ztek Consulting,Further adapter investigation required,,,,https://www.ztekinc.com/,,no_url_at_all
Antioch University,University follow-up required,,,,https://www.antioch.edu/employment/,Corrected officialsource returned HTTP403,fetch_failed
API Heat Transfer,Provided URL unavailable,,,,https://careers.apiheattransfer.com,,fetch_failed
Axiom Space,Fetch failed during check,,,,https://careers.axiom-space.com,"ConnectTimeout: HTTPSConnectionPool(host='careers.axiom-space.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.axiom-space.com', port=443) at 0x1bc0b13aa",fetch_failed
BTIG,Further adapter investigation required,,,,https://careers.btig.com,,no_board_found
Clean Power Research,Fetch failed during check,,,,https://careers.cleanpowerresearch.com,"ConnectTimeout: HTTPSConnectionPool(host='careers.cleanpowerresearch.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.cleanpowerresearch.com', port=443) ",fetch_failed
Club Car,Fetch failed during check,,,,https://careers.club-car.com,"ConnectTimeout: HTTPSConnectionPool(host='careers.club-car.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.club-car.com', port=443) at 0x1ebe531b890>, '",fetch_failed
ECHO,Readable — identity review pending,https://job-boards.greenhouse.io/echo,greenhouse,19,https://job-boards.greenhouse.io/echo,,not_attempted
"FTS, Inc.",Readable — identity review pending,https://job-boards.greenhouse.io/fts,greenhouse,1,https://job-boards.greenhouse.io/fts,,not_attempted
HEICO,Further adapter investigation required,,,,https://careers.heico.com,,no_board_found
ICS,Readable — identity review pending,https://job-boards.greenhouse.io/ics,greenhouse,25,https://job-boards.greenhouse.io/ics,,not_attempted
Insight,Further adapter investigation required,,,,https://careers.insight.com,,no_board_found
Pyka Inc.,Added and verified,https://jobs.lever.co/pyka,lever,20,https://www.flypyka.com/careers,Board registration read back from live database.,not_attempted
"SONIFI Solutions, Inc.",Further adapter investigation required,,,,https://jobs.sonifisolutions.com,,no_board_found
Jobot,Provided URL unavailable,,,,https://jobot.com/careers,,no_url_at_all
Conair LLC,Further adapter investigation required,,,,https://recruiting.adp.com/srccsh/public/RTI.home?r=5001225965006&c=2223439&d=ExternalCareerSite&rb=INDEED&idUnique=5001225965006,,needs_adapter
JE Dunn Construction,Added and verified,https://jobs.jedunn.com,successfactors,487,https://jobs.jedunn.com/job/Kansas-City-Business-Analyst-Engineering-Services-MO-64106/1431052800/,Board registration read back from live database.,needs_adapter
BioSpace,Further adapter investigation required,,,,https://careers.biospace.com,,no_board_found
ARCO Design/Build,Added and verified,https://job-boards.greenhouse.io/arcodb,greenhouse,150,https://arcodb.com/,Board registration read back from live database.,no_url_at_all
Golden 1 Credit Union,Fetch failed during check,,,,https://www.golden1.com/discoverg1/member-advocates,"ReadTimeout: HTTPSConnectionPool(host='www.golden1.com', port=443): Read timed out. (read timeout=8.0)",no_url_at_all
Advocate Aurora Health,Added and verified,https://aah.wd5.myworkdayjobs.com/External,workday,1083,https://careers.advocatehealth.org/job/23886397/program-coordinator-i-obstetrics-gynecology-winston-salem-nc/?source=10588,Board registration read back from live database.,needs_adapter
Epsilon,Adapter validation unresolved,https://epsilon-publicisgroupe.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://careers.publicisgroupe.com/epsilon/jobs/163886?lang=en-us,PartialScrapeError: iCIMS results or explicit empty state is absent,needs_adapter
FNA Group,Added and verified,https://fnagroup.applicantpro.com/jobs/,applicantpro,37,https://www.applicantpro.com/openings/fnagroup/jobs/4191096-387325,Board registration read back from live database.,needs_adapter
Halma plc,Further adapter investigation required,,,,https://www.halma.com/careers,,no_url_at_all
Harnham,Added and verified,https://harnham.pinpointhq.com,pinpoint,7,https://www.harnham.com/wimbledon-recruitment-careers/,Board registration read back from live database.,no_url_at_all
Kasasa,Further adapter investigation required,,,,https://www.kasasa.com/careers?gnk=job&gni=8a78859f9fd3baa001a025a68ac1240d&gns=Indeed+Free,,needs_adapter
"Kontoor Brands, Inc.",Added and verified,https://kbi.wd5.myworkdayjobs.com/Kontoor,workday,140,https://www.kontoorbrands.com/careers,Board registration read back from live database.,no_url_at_all
Lincoln Property Company,Further adapter investigation required,,,,https://www.lpc.com/about-us/careers/,,no_url_at_all
"Mattel, Inc.",Further adapter investigation required,,,,https://careers.mattel.com,,no_board_found
NewYork-Presbyterian Hospital,Provided URL unavailable,,,,https://careers.nyp.org/us/en/job/808,,needs_adapter
Orum 🥇,Added and verified,https://jobs.ashbyhq.com/orum,ashby,9,https://www.orum.com/careers,Board registration read back from live database.,board_guessed_unverified
Pinion,Adapter validation unresolved,https://careers-apply-pinionglobal.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://careers.pinionglobal.com/careers-home/jobs/2739/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,PartialScrapeError: iCIMS results or explicit empty state is absent,needs_adapter
Rogers-O'Brien Construction,Further adapter investigation required,,,,https://r-o.com/careers/,,no_url_at_all
WesTech Engineering,Added and verified,https://recruiting2.ultipro.com/WES1036WESEN/JobBoard/e9e4b204-967b-4c07-b2d6-4c66319b5fc0,ultipro,22,https://www.westechwater.com/about/careers,Board registration read back from live database.,no_url_at_all
"ACO, Inc",Readable — identity review pending,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=98e760f7-2764-4d60-9333-0538f8ad00bd&ccId=19000101_000001,adp,11,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=98e760f7-2764-4d60-9333-0538f8ad00bd&ccId=19000101_000001&jobId=574784&source=IN&lang=en_US,,board_resolved_but_unused
Ad Astra,Further adapter investigation required,,,,https://www.adastrasteammedia.com/careers,,no_url_at_all
AFH Industries,Further adapter investigation required,,,,https://care.afhind.com/,,no_url_at_all
"Agora Data, Inc.",Fetch failed during check,,,,https://www.agoradata.com.au/,ValueError: blocked non-public URL: https://www.agoradata.com.au/,no_url_at_all
Albany International Corp.,Further adapter investigation required,,,,https://career.albany.edu/jobs/albany-international-corp-internship-opportunities-all-degrees-welcome/,,no_url_at_all
Aligned Data Centers,Added and verified,https://aligneddc.wd12.myworkdayjobs.com/aligneddc,workday,206,https://aligneddc.com/careers/,Board registration read back from live database.,no_url_at_all
American Councils for International Education,Added and verified,https://www.paycomonline.net/v4/ats/web.php/portal/58AA089E0E2C786B7FE4217373F3BCBD/career-page,paycom,7,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=58AA089E0E2C786B7FE4217373F3BCBD,Board registration read back from live database.,no_url_at_all
Amerijet International,Added and verified,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=b84c1100-8ca6-49d3-8a35-f06ad8084d26&ccId=19000101_000001,adp,11,https://amerijet.com/careers/,Board registration read back from live database.,no_url_at_all
Armstrong World Industries,Further adapter investigation required,,,,https://www.armstrongworldindustries.com/en-us/careers.html,,no_url_at_all
Barringer Construction,Further adapter investigation required,,,,https://www.barringerconstruction.com/job/project-manager-current-opening/,,no_url_at_all
Betria Interactive,Search leads saved — validation pending,,,,https://www.indeed.com/cmp/Betria-Interactive?campaignid=mobvjcmp&fromjk=92a645f6e396440d,Search results are unverified leads; no board added.,no_url_at_all
BluIP Inc.,Search leads saved — validation pending,,,,https://www.linkedin.com/company/bluip/,Search results are unverified leads; no board added.,no_url_at_all
Bollinger Shipyards,Further adapter investigation required,,,,https://bollingershipyards.exacthire.com/job/206666?source=335,,needs_adapter
BronxWorks,Further adapter investigation required,,,,https://bronxworks.org/our-services/workforce-development/,,no_url_at_all
Buyers Edge Platform,Added and verified,https://job-boards.greenhouse.io/buyersedgeplatformrecruiting,greenhouse,38,https://buyersedgeplatform.com/about/careers/job-board/,Board registration read back from live database.,no_url_at_all
Case-Mate,Further adapter investigation required,,,,https://case-mate.com/collections/case-mate-collection,,no_url_at_all
Catapult,Readable — identity review pending,https://careers-catapulthealth.icims.com/jobs/search?ss=1&in_iframe=1,icims,3,https://www.catapulthealth.com/careers/,,no_url_at_all
Celerity,Further adapter investigation required,,,,https://www.celerity-is.com/jobs,,no_url_at_all
Centessa Pharmaceuticals,Added and verified,https://job-boards.greenhouse.io/centessapharmaceuticalsinc,greenhouse,27,https://centessa.com/careers/,Board registration read back from live database.,no_url_at_all
CesiumAstro,Added and verified,https://jobs.lever.co/CesiumAstro,lever,274,https://www.cesiumastro.com/careers,Board registration read back from live database.,no_url_at_all
Clark Associates,Further adapter investigation required,,,,https://careers.clarkassociatesinc.biz/?location=Willow+Street%2C+PA,,no_url_at_all
Close,Readable — identity review pending,https://jobs.ashbyhq.com/close,ashby,7,https://jobs.ashbyhq.com/close,,board_guessed_unverified
Clozd,Added and verified,https://jobs.lever.co/Clozd,lever,7,https://www.clozd.com/careers,Board registration read back from live database.,no_url_at_all
"Community Financial System, Inc.",Adapter validation unresolved,https://careers-communitybankna.icims.com/jobs/search?ss=1&in_iframe=1,icims,0,https://careers.cbna.com/communitybankna/jobs/10235?lang=en-us,PartialScrapeError: iCIMS results or explicit empty state is absent,needs_adapter
CoverMyMeds,Adapter validation unresolved,https://careers.mckesson.com/en/search-jobs/CoverMyMeds/733/1?glat=37.812400817871094&glon=-85.47029876708984&utm_medium=referral&utm_source=cmm-health&utm_campaign=corp%7Cemployer+brand%7Ccmm-careers%7C%7C%7C&source=CMM_careers,radancy,0,https://www.covermymeds.health/about/careers?redirect=experience,,no_board_found
Cranium AI,Further adapter investigation required,,,,https://cranium.ai/company/careers/quality-engineer/,,no_url_at_all
CULT GAIA,Further adapter investigation required,,,,https://cultgaia.com/pages/work-with-us,,no_url_at_all
Cyber Defense Technologies,Further adapter investigation required,,,,https://cyberdefensetechnologies.catsone.com/careers/92366-General/jobs/16855568-Senior-DevOps-Engineer/?ref=Indeed,,needs_adapter
Diligente Technologies,Further adapter investigation required,,,,https://www.diligentetechnologies.com/professional-services,,no_url_at_all
"Elegant Enterprise-Wide Solutions, Inc.",Further adapter investigation required,,,,https://jenniejohnson.com/company/elegant-enterprise_-_wide-solutions,,no_url_at_all
Fagron,Further adapter investigation required,,,,https://careers.fagron.com,,no_board_found
Foothill-De Anza Community College District,Added and verified,https://www.schooljobs.com/careers/fhda,schooljobs,153,https://hr.fhda.edu/careers/,Board registration read back from live database.,government_portal
FORMA Brands,Search leads saved — validation pending,,,,https://www.linkedin.com/company/forma-brands,Search results are unverified leads; no board added.,no_url_at_all
Fute,Provided URL unavailable,,,,https://join.com/companies/futeservicescom/spontaneous-application,,no_url_at_all
Gold Group Ltd,Search leads saved — validation pending,,,,https://uk.linkedin.com/company/gold-group,Search results are unverified leads; no board added.,no_url_at_all
HarperCollins Publishers,Provided URL unavailable,,,,https://careers-hcc-hqn.icims.com/jobs/intro?mobile=true&needsRedirect=false,,no_url_at_all
HEAD USA,Further adapter investigation required,,,,https://www.advantageaustria.org/us/company/en/head-international-gmbh,,no_url_at_all
"HRCap, Inc.",Further adapter investigation required,,,,https://www.hrcap.com/hrcap-careers,,no_url_at_all
IES Residential,Further adapter investigation required,,,,https://www.iesresidentialinc.com/careers,,no_url_at_all
"iTradeNetwork, Inc.",Added and verified,https://job-boards.greenhouse.io/itradenetworkinc,greenhouse,7,https://www.itradenetwork.com/jobs/5363161008?gh_jid=5363161008,Board registration read back from live database.,no_url_at_all
Kailera Therapeutics,Added and verified,https://job-boards.greenhouse.io/kailera,greenhouse,23,https://job-boards.greenhouse.io/kailera?error=true,Board registration read back from live database.,no_url_at_all
Kendo Holdings,Further adapter investigation required,,,,https://www.lvmh.com/join-us/our-job-offers/KEND00643,,needs_adapter
L.V. Enterprises,Readable — identity review pending,https://job-boards.greenhouse.io/lv,greenhouse,1,https://job-boards.greenhouse.io/lv,,no_board_found
Labatt Food Service,Further adapter investigation required,,,,https://jobsearch-web.applicant-process.devcloud.labattfood.com/,,no_url_at_all
Lawson Products,Adapter validation unresolved,https://lawson.avature.net/en_US/SearchJobs,avature,0,https://www.lawsonproducts.com/en-ca/pages/careers,,no_url_at_all
"LogicManager, Inc",Further adapter investigation required,,,,https://logicmanager.na.teamtailor.com/jobs/702548-senior-devops-engineer,,needs_adapter
LSEV USA Corp,Search leads saved — validation pending,,,,https://www.linkedin.com/company/lsev,Search results are unverified leads; no board added.,no_url_at_all
Madewell,Public portal restricted during check,,,,https://jobs.madewell.com,,no_board_found
MCA Connect,Readable — identity review pending,https://jobs.lever.co/mcaconnect,lever,14,https://jobs.lever.co/mcaconnect,,board_guessed_unverified
Milwaukee County,Further adapter investigation required,,,,https://jobs.dayforcehcm.com/en-US/mkecounty/MKECOUNTYCAREERSITE/jobs/29569,,needs_adapter
"Morgan & Morgan, P.A.",Added and verified,https://job-boards.greenhouse.io/morganmorganjobsapplynow,greenhouse,434,https://job-boards.greenhouse.io/morganmorganjobsapplynow?error=true,Board registration read back from live database.,no_url_at_all
Motion Control,Further adapter investigation required,,,,https://acsmotioncontrol.com/careers/,,no_url_at_all
n-Lorem Foundation,Public portal restricted during check,,,,https://careers.nloremfoundation.com,,no_board_found
Nerdio,Further adapter investigation required,,,,https://careers.nerdio.com,,no_board_found
Network Rail Consulting,Further adapter investigation required,,,,https://networkrailconsulting.com/,,no_url_at_all
NSD International,Provided URL unavailable,,,,https://nsdinternational.com/careers,,no_url_at_all
Oak Point Partners,Further adapter investigation required,,,,https://www.oakpointpartners.com/contact,,no_url_at_all
