match_score,title,company,location,remote,pay,max_years_exp,jd_sponsorship,url
38,"Senior Manager, Technical Services, Global Business Systems",Intuitive,"Sunnyvale, CA, United States",,,10,,https://jobs.smartrecruiters.com/Intuitive/744000144419649
38,Senior DevOps Engineer,Intuitive,"Sunnyvale, CA, United States",,,7,,https://jobs.smartrecruiters.com/Intuitive/744000145607619
38,"Senior Lead Software Engineer, Developer Infrastructure",Klaviyo,"Boston, MA",,$216k-324k,12,,https://www.klaviyo.com/careers/jobs/7917878003?gh_jid=7917878003
37,Senior Software Engineer (Ruby on Rails/React),CompanyCam,Remote (U.S.),yes,$175k-200k,5,,https://companycam.com/job?gh_jid=7978395003
37,"Product Manager, Desk",FareHarbor,"Denver, CO ",,$120k-180k,5,,https://fareharbor.com/careers/jobs?gh_jid=8756800002
37,"Senior Software Engineer, Onboard",Atoms,"San Francisco, CA",,$176k-242k,,,https://job-boards.greenhouse.io/atoms/jobs/8717656002
37,Senior Staff Information Security Engineer,NMI,"Remote, US",yes,,,,https://job-boards.greenhouse.io/nmi/jobs/5372941008
37,Technical Product Manager - EHR,Nabla,New York office,,,6,,https://jobs.ashbyhq.com/nabla/64ba6d61-b09d-48cd-bde7-5a2db4b53cb3
37,Senior Intelligence Systems Engineer,Polymarket,Remote,yes,,,,https://jobs.ashbyhq.com/polymarket/42e9a690-9f4c-4810-8524-5817cb32db51
37,Manager Finance - Global Manufacturing Strategy & Operations,Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000142011279
37,Infrastructure Platform Engineer,Tapestry,"New York, New York, USA (Corporate Headquarters)",,$130k-140k,7,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Infrastructure-Platform-Engineer_JR12729-1
36,Senior QA Engineer,ICE,"Atlanta, Georgia, United States",,,5,,https://careers-ice.icims.com/jobs/13646/login
36,"Director, Product Program Management",Ardent Health,Remote - Nationwide,yes,,,,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Director--Product-Program-Management_R040320
36,Implementation Engineer - EMEA,Fingerprint,Remote,yes,,3,blocked,https://fingerprint.com/careers/jobs/apply?gh_jid=6149778004
36,GTM Product Analyst,Edmentum,United States,yes,$110k-120k,4,,https://job-boards.greenhouse.io/edmentum/jobs/6148611004
36,(1535) Staff Backend Engineer (.NET),Nortal,Latin America - Remote,yes,,7,,https://job-boards.greenhouse.io/nortal/jobs/5211528007
36,CNC Programmer 2 - 3rd Shift,Oldcastle BuildingEnvelope,"Newnan, GA",,,,,https://job-boards.greenhouse.io/oldcastlebuildingenvelope/jobs/4342607009
36,"Data Analyst, People Analytics",RVO Health,"Charlotte, North Carolina, United States",,$75k-95k,1,blocked,https://job-boards.greenhouse.io/rvohealth/jobs/4721689005
36,Project Manager- Nutrition,Trove Brands,"Lehi, Utah",,,1,,https://job-boards.greenhouse.io/trovebrands/jobs/4385262009
36,"Software Engineer, Enterprise Security",Warp,Remote,yes,,5,,https://job-boards.greenhouse.io/warp/jobs/6163780004
36,Technical Product Manager,Clera,Indianapolis,yes,$170k-200k,2,blocked,https://jobs.ashbyhq.com/clera/50a93ac0-01b9-4afe-b24a-e7640f2ebdc7
36,Fall Data Intern,Vendelux,"New York, NY",,,,,https://jobs.ashbyhq.com/vendelux/ec44a794-9622-444e-a789-491fa12726dd
36,"Technical Product Manager, API Partnerships",Kasheesh,New York City,,$150k-175k,,,https://jobs.lever.co/kasheesh/3e2ff483-2357-4e2f-b8ee-b9e1a6533334
36,"Senior Product Manager, Clinical Digital Insights",Intuitive,"Peachtree Corners, GA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000143606629
36,"Senior Product Manager, Clinical Digital Insights",Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000143606639
36,Systems Analyst (Robotic Algorithms and Controls),Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000144844929
36,Staff Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,12,,https://jobs.smartrecruiters.com/Intuitive/744000145844379
36,"Senior Applied Scientist, Speech",Otter.ai,"Mountain View, CA",,$230k-265k,5,,https://otter.ai/careers?gh_jid=7884371003
35,"Senior AI/ML Platform Engineer, GovCloud",Medallia,"McLean, Virginia, United States",,$148k-221k,5,blocked,https://careers-medallia.icims.com/jobs/6384/login
35,"Senior Software Engineer, Platform",CompanyCam,Remote (U.S.),yes,$175k-200k,5,,https://companycam.com/job?gh_jid=7826250003
35,Sr. Product Data Analyst,CompanyCam,Remote (U.S.),yes,$130k-140k,5,,https://companycam.com/job?gh_jid=7915940003
35,Applied Scientist II,Garner Health,"New York City, New York",,$158k-190k,2,,https://job-boards.greenhouse.io/garnerhealth/jobs/6141361004
35,Staff Applied Scientist,Garner Health,"New York City, New York",,$300k-390k,6,,https://job-boards.greenhouse.io/garnerhealth/jobs/6141418004
35,Senior/Staff Forward Deployed Software Engineer - TS/SCI Cleared,Twenty,"Chantilly, VA",,,6,blocked,https://jobs.ashbyhq.com/twenty/0e69685f-cb45-4cd6-905c-4686c50e7c94
35,Sr. Machine Learning Engineer,Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000145565870
35,Customer Finance Operations Specialist,Intuitive,"Sunnyvale, CA, United States",,,4,,https://jobs.smartrecruiters.com/Intuitive/744000145986129
34,"Business Operations Associate, AI & Automation",Instawork,"San Francisco, California, United States",,$90k-130k,,,https://job-boards.greenhouse.io/instawork/jobs/4702041006
34,Senior Front End Engineer,Blitzy,"Cambridge, MA",,,10,,https://jobs.ashbyhq.com/blitzy/10dbb802-bc7b-4800-887f-9e4d2a08b1f9
34,"Implementation Consultant, Advisory",Fieldguide,"San Francisco, CA or Remote (USA)",yes,,2,,https://jobs.ashbyhq.com/fieldguide/272b27ba-e7e2-4da5-9fba-7336c5a4083a
34,"Senior Implementation Consultant, Audit",Fieldguide,"San Francisco, CA or Remote (USA)",yes,,5,,https://jobs.ashbyhq.com/fieldguide/2a905da2-3492-4c98-85fa-c90745e02df6
34,"Implementation Consultant, Audit",Fieldguide,"San Francisco, CA or Remote (USA)",yes,,2,,https://jobs.ashbyhq.com/fieldguide/4c43f78d-3dd0-4779-b872-dff4498345ce
34,Enterprise Implementation Manager,Arcadia,Remote,yes,,3,,https://jobs.lever.co/arcadia/facff254-78e3-4328-83f4-fd13fa7ef627
34,Manufacturing Operations Manager,GTI Fabrication,"Goodyear, AZ",,,,,https://jobs.lever.co/gtifabrication/e3eee49e-14f5-4c6a-abc8-059295bdef95
34,Sr MLOps Engineer,Intuitive,"Sunnyvale, CA, United States",,,3,,https://jobs.smartrecruiters.com/Intuitive/744000141901549
34,"Staff Applied Data Scientist, Agentic AI",Emergence AI,"Irvine, CA ",,,,,https://www.emergence.ai/careers?gh_jid=4371385009
34,Senior Software Engineer,ZoomInfo,"Waltham, Massachusetts, United States",,$140k-220k,5,,https://www.zoominfo.com/careers?gh_jid=8604686002
33,QA Engineer,Alteva RCM,Remote,yes,$70k-115k,2,,https://job-boards.greenhouse.io/altevarcm/jobs/4380969009
33,Senior GTM Systems Engineer,Hightouch,"San Francisco, California / New York City, New York/ Remote",yes,$190k-240k,,,https://job-boards.greenhouse.io/hightouch/jobs/6167699004
33,"Creative Operations Manager, Media & Trafficking",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/1adb6eb0-11ab-4034-9915-7d783a93e231
33,Cardiovascular Program Specialist - North Central (Future Opportunity),Intuitive,"Nashville, TN, United States (Remote)",yes,,2,,https://jobs.smartrecruiters.com/Intuitive/744000145972420
33,Cardiovascular Program Specialist - South Central (Future Opportunity),Intuitive,"Dallas, TX, United States (Remote)",yes,,2,,https://jobs.smartrecruiters.com/Intuitive/744000145975628
33,Cardiovascular Program Specialist - Southeast (Future Opportunity),Intuitive,"Atlanta, GA, United States",,,2,,https://jobs.smartrecruiters.com/Intuitive/744000145976009
33,Cardiovascular Program Specialist - Northeast (Future Opportunity),Intuitive,"Boston, MA, United States (Remote)",yes,,2,,https://jobs.smartrecruiters.com/Intuitive/744000145976563
33,Full Stack Engineer,Intuitive,"Sunnyvale, CA, United States",,,3,,https://jobs.smartrecruiters.com/Intuitive/744000146230504
33,Senior Lead Technical Program Manager - Infrastructure,Klaviyo,"Boston, MA",,$192k-288k,8,,https://www.klaviyo.com/careers/jobs/7855726003?gh_jid=7855726003
33,"Senior Program Manager, GTM",ZoomInfo,"Waltham, Massachusetts, United States",,$103k-162k,7,,https://www.zoominfo.com/careers?gh_jid=8654483002
32,2027 Machine Learning Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,,https://job-boards.greenhouse.io/advancedspace/jobs/4324875009
32,Senior Revenue Operations Analyst,Garner Health,Remote,yes,$100k-130k,,blocked,https://job-boards.greenhouse.io/garnerhealth/jobs/6147843004
32,Automation Engineer,Plexus,"Nampa, ID, US",,,,,https://jobs.plexus.com/careers/job/1099555566728?domain=plexus.com
32,Senior Vision Systems Engineer,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000144162957
32,Senior Software Engineer – Simulation & ML Platform,Intuitive,"San Francisco, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000144165357
32,Senior Technical Business Systems Analyst – Legal Systems,Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000144177889
32,Senior Configuration Release Engineer,Intuitive,"Sunnyvale, CA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000145812724
32,Senior Software Engineer - IDP,ZoomInfo,Remote-US-NY,yes,$140k-220k,5,,https://www.zoominfo.com/careers?gh_jid=8658369002
31,"Staff Infrastructure Engineer, US",Polymarket,New York,,,8,,https://jobs.ashbyhq.com/polymarket/8acac0bc-ebca-468b-a71e-8ba7dbb18791
31,Senior Full-Stack / AI Platform Engineer,Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000145606879
30,Senior Full Stack Software Engineer - Python & JavaScript,FareHarbor,"Denver, CO",,$162k-244k,4,,https://fareharbor.com/careers/jobs?gh_jid=8752507002
30,"Data Engineer II, AWS Data Platform",IDEXX,"Westbrook, ME",,,2,,https://idexx.wd115.myworkdayjobs.com/idexx/job/Westbrook-ME/Data-Engineer-II--AWS-Data-Platform_J-054305
30,2027 DevOps Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,blocked,https://job-boards.greenhouse.io/advancedspace/jobs/4333179009
30,"Software Engineer, Payments Product Lead",Aptos Labs,"Palo Alto, California",,$160k-260k,,,https://job-boards.greenhouse.io/aptoslabs/jobs/4720917005
30,Product Manager - Customer Support Systems,Lab37,"Pittsburgh, PA",,$165k-195k,7,,https://job-boards.greenhouse.io/lab37/jobs/8716019002
30,Project Manager (York),Oldcastle BuildingEnvelope,"York, PA",,,5,,https://job-boards.greenhouse.io/oldcastlebuildingenvelope/jobs/4342694009
30,Project Manager (Albertville),Oldcastle BuildingEnvelope,"Albertville, MN",,$75k-90k,5,,https://job-boards.greenhouse.io/oldcastlebuildingenvelope/jobs/4356591009
30,Lead Data Engineer,Atticus,Remote,yes,$174k-230k,4,,https://jobs.ashbyhq.com/atticus/299af7cf-5963-43a9-8262-be4358271358
30,Senior Test Engineer,Acron Aviation,"Grand Rapids, MI",,,6,,https://jobs.lever.co/acronaviation/21b97834-3bf1-4314-9789-dc41220dbd7c
30,"Staff Applied AI Engineer, Product & Agent Performance",Arcadia,Remote (USA),yes,,8,,https://jobs.lever.co/arcadia/67cc8e4a-92bc-4d3b-a158-1098c15939e0
30,"Sr. Product Manager, Instruments - GYN",Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000146228839
30,"Principal Product Management, Growth",ZoomInfo,Remote,yes,,8,,https://www.zoominfo.com/careers?gh_jid=8561615002
29,Platform Engineer,Defense Unicorns,"San Antonio, Texas",,$123k-166k,,blocked,https://job-boards.greenhouse.io/defenseunicorns/jobs/5224430007
29,Senior Mobile Engineer,Abridge,California,,,7,,https://jobs.ashbyhq.com/abridge/9e4579cb-90a6-475d-9293-598791debca3
29,Staff Fullstack Engineer,Polymarket,New York,,,7,,https://jobs.ashbyhq.com/polymarket/9cd88b79-821e-4b99-8448-7beb02f45683
29,Principal Software Engineer-Platforms,Arcadia,Remote (USA),yes,,,,https://jobs.lever.co/arcadia/631c2c22-0759-4f84-a9a1-11305917c510
29,Manufacturing Operations Manager,GTI Fabrication,"Buffalo, NY",,,,,https://jobs.lever.co/gtifabrication/91934ae6-6530-4131-a157-c1b6c78fcf93
29,Sr Embedded Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000141337499
29,"2027 Summer Analyst Intern, Valuations & Opinions Group",Lincoln International,"Atlanta, GA; Dallas, TX; New York, NY",,,,,https://www.lincolninternational.com/greenhouse?gh_jid=8109855
28,"Senior Platform Engineer, Systems Engineering",ICE,"Atlanta, Georgia; Jacksonville, Florida, United States",,,5,,https://careers-ice.icims.com/jobs/13280/login
28,"Product Manager, Integration & Ecosystem",Atoms,"Mountain View, CA",,$195k-246k,8,,https://job-boards.greenhouse.io/atoms/jobs/8658605002
28,Product Manager - Fleet Management,Lab37,"Pittsburgh, PA",,$165k-195k,7,,https://job-boards.greenhouse.io/lab37/jobs/8697410002
28,"(1534) Senior Fullstack Software Engineer (React, Node.js & Python)",Nortal,Latin America - Remote,yes,,6,,https://job-boards.greenhouse.io/nortal/jobs/5210174007
28,Senior Systems Analyst (Robotic Algorithms and Control),Intuitive,"Sunnyvale, CA, United States",,,6,,https://jobs.smartrecruiters.com/Intuitive/744000141790204
28,Staff Embedded Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,12,,https://jobs.smartrecruiters.com/Intuitive/744000144333776
28,Senior Software Engineer - Embedded UI (Qt / C++),Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000144400244
27,"Staff Product Security Engineer, AI Security & Security Assurance",Medallia,"McLean, Virginia, United States",,$154k-205k,8,,https://careers-medallia.icims.com/jobs/6308/login
27,Product Manager - Training & Learning Management Systems,Lab37,"Pittsburgh, PA",,$165k-195k,7,,https://job-boards.greenhouse.io/lab37/jobs/8715859002
27,(1537) Senior Fullstack Engineer (Node.js & React),Nortal,Latin America - Remote,yes,,,,https://job-boards.greenhouse.io/nortal/jobs/5213610007
27,Billing Operations Specialist (PST),Octave,United States,,$0k-0k,2,blocked,https://job-boards.greenhouse.io/octave/jobs/8727826002
27,"Senior/Staff Software Engineer, Front End",Abridge,California,,,7,,https://jobs.ashbyhq.com/abridge/983ea248-e6c9-43bc-a27d-914091173337
27,"Lead/Principal Product Manager, Audit Agents",Fieldguide,"San Francisco, CA",yes,,7,,https://jobs.ashbyhq.com/fieldguide/716f6d0e-6796-4747-989f-c0e639bae10e
27,Sr. Motor Test Engineer,Innomotics,"Norwood, OH, US",,$81k-210k,7,,https://jobs.innomotics.com/job/Norwood-Sr_-Motor-Test-Engineer-OH-45212/1421412533
27,Staff Data Scientist – Simulation Motion AI,Intuitive,"San Francisco, CA, United States",,,9,,https://jobs.smartrecruiters.com/Intuitive/744000144167459
27,"Senior Software Engineer, Data Infrastructure",ZoomInfo,Remote,yes,$140k-220k,5,,https://www.zoominfo.com/careers?gh_jid=8687939002
26,"Backend Engineer, Markets",Polymarket,New York,,,1,,https://jobs.ashbyhq.com/polymarket/c69d06c3-96df-493a-afdc-80636d494cf2
26,"Senior Data Scientist / Analyst, Product",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/ddcc0048-6175-4c9b-847a-ce02e4508377
26,Sr. Simulation & Synthetic Data Engineer,Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000141307205
26,Robotic Algorithms and Controls Engineer (Systems Analyst),Intuitive,"Sunnyvale, CA, United States",,,4,,https://jobs.smartrecruiters.com/Intuitive/744000142669611
26,Clinical Applications Engineer,Intuitive,"Chicago, IL, United States",,,2,,https://jobs.smartrecruiters.com/Intuitive/744000142689880
26,Staff Software Engineer - Emulation,Intuitive,"Sunnyvale, CA, United States",,,12,,https://jobs.smartrecruiters.com/Intuitive/744000145566219
25,Sr. System Engineer,Stratasys,"Rehovot, IL, IL",,,5,,https://careers.stratasys.com/job/Rehovot-Sr_-System-Engineer-IL/1390554100
25,Product Manager,Quilt,"Redwood City, CA",,$180k-230k,6,,https://job-boards.greenhouse.io/quilt/jobs/5221801007
25,Full Stack Software Engineer,Clera,New York,,$120k-200k,3,blocked,https://jobs.ashbyhq.com/clera/2521279c-c936-45c2-b9cf-4b7e1fe4c9d2
25,"Staff Web Engineer, Marketing",Deepgram,USA | Remote,yes,,,,https://jobs.ashbyhq.com/deepgram/4f9648d7-e25c-440c-8ec6-566a405c7c23
25,"Lead Mobile Engineer, Performance",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/b852e612-a643-4ef6-83e2-6a3c0dea3d84
25,"Sales Operations Manager, Enablement",Scribe,Remote,yes,,,,https://jobs.ashbyhq.com/scribe/6d5d031b-3bfb-4ac5-9d95-bab840427724
25,Senior Software Engineer,ZoomInfo,Remote-US-NY,yes,$140k-220k,8,,https://www.zoominfo.com/careers?gh_jid=8658371002
24,"Principal Product Manager, Camera & Photos",CompanyCam,Remote (U.S.),yes,$215k-235k,8,,https://companycam.com/job?gh_jid=7811759003
24,Scheduler I,Oldcastle BuildingEnvelope,"Terrell, TX",,,18,,https://job-boards.greenhouse.io/oldcastlebuildingenvelope/jobs/4357225009
24,Marketing Program Manager,OpenEye,"Liberty Lake, Washington",,,3,,https://job-boards.greenhouse.io/openeye/jobs/8715971002
24,"Senior Data Scientist / Analyst, Growth",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/ebdcaee3-2a6c-4bf1-8647-f0b9e6222a4f
24,"Senior Software Engineer, Unity",Intuitive,"Peachtree Corners, GA, United States",,,5,,https://jobs.smartrecruiters.com/Intuitive/744000142743999
24,Senior GTM Partner Systems Engineer,Klaviyo,"Boston, MA",,$116k-174k,,,https://www.klaviyo.com/careers/jobs/7806010003?gh_jid=7806010003
24,Software Engineer III,ZoomInfo,"Waltham, Massachusetts, United States",,$112k-176k,4,,https://www.zoominfo.com/careers?gh_jid=8733673002
23,Staff Software Engineer - OCR / Text Extraction,NetDocuments,Remote - US,yes,,8,,https://job-boards.greenhouse.io/netdocuments/jobs/5398761008
23,"Staff Software Engineer, Cloud Infrastructure",Accord,"San Francisco, CA",,,,,https://jobs.ashbyhq.com/accord/5f8bd5d9-c96d-4861-bca0-fa1549baf5a9
23,Customer Strategy & Ops - New Grad,Candid Health,"San Francisco (CA),  Denver (CO), New York (NY)",,,,,https://jobs.ashbyhq.com/candidhealth/9a33f09d-5cd1-424d-ada2-426bc1570e54
23,"Lead/Principal Product Manager, Tax Agents",Fieldguide,"San Francisco, CA or Remote (USA)",yes,,8,,https://jobs.ashbyhq.com/fieldguide/5a7e0342-6df8-4455-968a-c07280360921
23,Technical Product Manager - RCM,Flagler Health,Remote,yes,,,,https://jobs.ashbyhq.com/flaglerhealth/8f6e4acd-8aa5-4e38-b0ac-9f117b8a60ab
23,"Senior Web Engineer, Perps",Polymarket,New York,,,3,,https://jobs.ashbyhq.com/polymarket/5d320b62-05d5-488e-a619-8eac8aa1c8d0
23,"Lead, Systems Engineer",Acron Aviation,"Phoenix, AZ",,,9,,https://jobs.lever.co/acronaviation/70842cb4-2729-4dce-a6bf-4ab495f7ba4d
23,Sr Financial Analyst - Future Forward FP&A,Intuitive,"Sunnyvale, CA, United States",,,4,,https://jobs.smartrecruiters.com/Intuitive/744000141008559
22,"Software Engineer II, Platform",Bubble,Remote ,yes,$145k-187k,2,,https://jobs.ashbyhq.com/bubble/6321b27c-b549-476e-9a75-5f5dede7ab57
22,Product Manager,Candid Health,New York City,,$150k-195k,4,,https://jobs.ashbyhq.com/candidhealth/6695d8d8-54ee-4acf-9bd9-7d3e05264e51
22,"Senior Backend Engineer, Data Ingestion",Scribe,Remote,yes,,8,,https://jobs.ashbyhq.com/scribe/70043fce-177c-4986-9c47-4f5f9dbc50c0
22,Chief of Staff - Commercial Strategy,Arcadia,Remote (USA),yes,,,,https://jobs.lever.co/arcadia/648a0928-f5df-4d5e-856b-a9a7a9115cc6
21,2026 Team Member Success Fall Internship,Advanced Space,"Westminster, CO",,$0k-0k,,blocked,https://job-boards.greenhouse.io/advancedspace/jobs/4376598009
21,"Senior Data Scientist / Analyst, Institutional",Polymarket,New York,,,,,https://jobs.ashbyhq.com/polymarket/4bcdc897-3126-4d8e-ba8a-d398255cad6e
21,"Senior Backend Engineer, Services",Polymarket,New York,,,4,,https://jobs.ashbyhq.com/polymarket/4c7d9ad7-1720-413d-bcc6-81d5be34cb96
21,Senior Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000140977220
20,Director of Product Operations (On-site),Phenom,"Horsham, Pennsylvania, United States",,,8,,https://careers.phenom.com/us/en/job/P-104692
20,Construction Program Manager,Lab37,"Pittsburgh, PA",,,,,https://job-boards.greenhouse.io/lab37/jobs/8742361002
19,Robotics Software Engineer,Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000141577259
18,Senior Fullstack Engineer,Clera,remote,yes,,5,blocked,https://jobs.ashbyhq.com/clera/2ebd36ea-58b4-4104-ad58-d5982f3f7f37
18,Senior Embedded Software Engineer - Vision,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000141553944
18,Senior Embedded Software Development Engineer Video,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000141554379
18,2027 M&A Summer Associate Intern,Lincoln International,"Chicago, IL; New York, NY; Los Angeles, CA; San Francisco, CA",,,,,https://www.lincolninternational.com/greenhouse?gh_jid=8106841
16,Senior Finance Systems Analyst,Haworth,"Holland, MI, US",,,,,https://careers.haworth.com/job/Holland-Senior-Finance-Systems-Analyst-MI-49423/1418288200
16,"Sr Software Engineer, PlanPoint",Intuitive,"Sunnyvale, CA, United States",,,,,https://jobs.smartrecruiters.com/Intuitive/744000141300694
16,Principal Software Engineer - PA172,ZoomInfo,"Bethesda, Maryland, United States; San Francisco, California, United States; Waltham, Massachusetts, United States",,$163k-257k,,,https://www.zoominfo.com/careers?gh_jid=8661955002
15,Associate Systems Engineer,Acron Aviation,"Phoenix, AZ",,,,,https://jobs.lever.co/acronaviation/462305af-8411-4367-9bee-1fdd49bdff37
14,2027 Systems Engineering Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,blocked,https://job-boards.greenhouse.io/advancedspace/jobs/4376394009
14,"Managing Staff, Embedded Software Engineer - Advanced Energy",Intuitive,"Sunnyvale, CA, United States",,,12,,https://jobs.smartrecruiters.com/Intuitive/744000143309911
14,AI/Machine Learning Engineer,Veritone,"Irvine, CA",,,3,,https://veritone.wd1.myworkdayjobs.com/veritone_career_site/job/Irvine-CA/AI-Machine-Learning-Engineer_R0194
13,Senior Java Developer,ICE,"Atlanta, Georgia, United States",,,,,https://careers-ice.icims.com/jobs/11554/login
13,2027 Software Engineering Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,,https://job-boards.greenhouse.io/advancedspace/jobs/4324855009
12,Staff Fullstack Engineer,Clera,remote,yes,$185k-240k,8,open,https://jobs.ashbyhq.com/clera/c2597c13-c8a2-4e58-9276-a0612daa1343
11,2027 Mission Design Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,,https://job-boards.greenhouse.io/advancedspace/jobs/4324900009
11,2027 Navigation Summer Internship,Advanced Space,"Westminster, CO",,$0k-0k,,,https://job-boards.greenhouse.io/advancedspace/jobs/4324913009
10,"Sr. Product Manager, Platform",Tenstorrent,"Santa Clara, California, United States",,$100k-500k,,,https://job-boards.greenhouse.io/tenstorrent/jobs/5207111007
10,Senior Fullstack Engineer,Clera,remote,yes,$150k-220k,5,open,https://jobs.ashbyhq.com/clera/ec2ab2fa-932e-4cc2-a17b-348eb5da6f52
8,"Business Systems Analyst Sr, ERP (Financial Aid), Digital Technology Solutions",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Business-Systems-Analyst-Sr%2C-ERP-%28Financial-Aid%29%2C-Digital-Technology-Solutions-OH-45221/1424526100
8,Co-op Student - DTS Office of Information Security,University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Co-op-Student-DTS-Office-of-Information-Security-OH-45221/1414729100
8,"Financial Analyst Sr, COM, Department of Neurosurgery",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Financial-Analyst-Sr%2C-COM%2C-Department-of-Neurosurgery-OH-45221/1419029400
8,"Financial Analyst Sr,  COM, Radiology Department",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Financial-Analyst-Sr%2C-COM%2C-Radiology-Department-OH-45221/1423955200
8,"Program Manager, Career Services at UC Clermont College",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Program-Manager%2C-Career-Services-at-UC-Clermont-College-OH-45221/1420521200
8,"Program Manager, COM Simulation Center",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Program-Manager%2C-COM-Simulation-Center-OH-45221/1423968100
8,"Program Manager, Department of Biostatistics, Health Informatics and Data Sciences",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Program-Manager%2C-Department-of-Biostatistics%2C-Health-Informatics-and-Data-Sciences-OH-45221/1423961000
8,"Program Manager - Education, Department of Neurology & Rehabilitation Medicine",University of Cincinnati,"Cincinnati, OH, US",,,,,https://jobs.uc.edu/job/Cincinnati-Program-Manager-Education%2C-Department-of-Neurology-&amp;-Rehabilitation-Medicine-OH-45221/1417909100
7,Software Engineer II,Garner Health,"New York City, New York",,,2,,https://job-boards.greenhouse.io/garnerhealth/jobs/6104319004
7,"Software Engineer, Applied AI Research",Hightouch,Remote (North America),yes,$180k-400k,,,https://job-boards.greenhouse.io/hightouch/jobs/6174215004
3,Intern/Student Project Management,Stratasys,"Butzbach, DE",,,,,https://careers.stratasys.com/job/Butzbach-InternStudent-Project-Management/1406208500
